Name,Gender,Phone,Email,Batch,Batch Role,Residence,Attendance Mode,Level,Status,College/Org,Occupation,Highest Education,Present Studies or Job,Department,Care Group,Facilitator,Attendance %,Sadhana Rounds,Skills
Surya Narayana Das,Male,7907737187,surya.kiran@iitdalumni.com,Gaurvani Sabha,Coordinator,Jia Sarai BACE,Offline at BACE,3,Active,IIT Delhi,PhD Scholar / Full-time devotee,PhD,IITD Energy Studies,Morning Program,Care Group 1,Surya Narayana Das,98,16,"Preaching, Teaching, Kirtan"
Audarya Gaur pr,Male,9876543201,audarya.gaur@iskcon.in,Gaurvani Sabha,Coordinator,Jia Sarai BACE,Offline at BACE,3,Active,IIT Delhi,Full-time devotee,M.Tech,IITD Mechanical,Morning Program,Care Group 1,Audarya Gaur pr,96,16,"Preaching, Teaching, Management"
Dhirendra pr,Male,9876543202,dhirendra.pr@iskcon.in,Narad Sabha,Coordinator,Nilachal Dham BACE,Offline at BACE,3,Active,DTU,Working Professional,B.Tech,Software Engineer,Deity Department,Care Group 2,Dhirendra pr,94,16,"Deity Seva, Kirtan, Cooking"
Radhika Devi Dasi,Female,9876543203,radhika.devi@iskcon.in,Gaurvani Sabha,Member,Munirka Vihar,Offline at BACE,3,Active,JNU,Research Scholar,M.Sc,Biotechnology,Prasadam & Kitchen,Care Group 2,Audarya Gaur pr,92,16,"Cooking, Garland Making, Teaching"
Mukunda Datta Das,Male,9876543204,mukunda.datta@iskcon.in,Gaurvani Sabha,Member,Jia Sarai BACE,Offline at BACE,3,Active,IIT Delhi,Student,B.Tech,IITD Computer Science,Book Distribution & Outreach,Care Group 1,Audarya Gaur pr,91,16,"Book Distribution, Outreach, Kirtan"
Vrindavaneshwari Dasi,Female,9876543205,vrindavaneshwari@iskcon.in,Narad Sabha,Member,Hauz Khas,Offline at BACE,2,Active,AIIMS Delhi,Medical Resident,MBBS,Doctor,Guest Care & Reception,Care Group 3,Dhirendra pr,88,16,"Care, Counseling, Medical Camp"
Rahul Sharma,Male,9876543206,rahul.sharma@example.in,Taksharya,Member,Kumaon Hostel,Offline at BACE,1,Active,IIT Delhi,Student,B.Tech,IITD Electrical,Cleaning & Cleanliness,Care Group 1,Audarya Gaur pr,84,8,"Organising, Sound & Tech"
Ananya Sen,Female,9876543207,ananya.sen@example.in,Taksharya,Member,Kailash Colony,Offline at BACE,1,Active,Delhi University,Student,B.A. (Hons),Literature,Festival & Events Seva,Care Group 3,Dhirendra pr,82,8,"Design, Content Writing, Decoration"
Prashant pr,Male,9876543208,prashant.pr@iskcon.in,Gaurvani Sabha,Secretary,Jia Sarai BACE,Offline at BACE,3,Active,IIT Delhi,Researcher,M.Tech,IITD Chemical,Accounts & Treasury,Care Group 1,Audarya Gaur pr,95,16,"Accounting, Logistics, Management"
Suresh pr,Male,9876543209,suresh.pr@iskcon.in,Narad Sabha,Secretary,Nilachal Dham BACE,Offline at BACE,3,Active,NSUT,Software Engineer,B.Tech,Backend Developer,Audio-Visual & Media,Care Group 2,Dhirendra pr,93,16,"Photography, Video Editing, IT"
Pooja Gupta,Female,9876543210,pooja.gupta@example.in,Sreshtha,Member,Safdarjung Enclave,Hybrid,2,Active,Gargi College,Student,B.Com,Finance,Accounts & Treasury,Care Group 2,Audarya Gaur pr,86,16,"Rangoli, Accounting, Kirtan"
Bhakta Amit Verma,Male,9876543211,amit.verma@example.in,Taksharya,Member,Nilgiri Hostel,Offline at BACE,1,New,IIT Delhi,Student,B.Tech,IITD Civil,Sankirtan Dept. & Inventory,Care Group 1,Audarya Gaur pr,78,4,"Book Distribution, Setup"
Tulasi Priya Dasi,Female,9876543212,tulasi.priya@iskcon.in,Gaurvani Sabha,Member,Green Park,Offline at BACE,3,Active,IIT Delhi,Postdoc Fellow,PhD,IITD Physics,Deity Department,Care Group 2,Dhirendra pr,96,16,"Deity Dressing, Cooking, Reading"
Bhakta Kunal Das,Male,9876543213,kunal.das@example.in,Sreshtha,Member,Jia Sarai BACE,Offline at BACE,2,Active,IIT Delhi,Student,M.Tech,IITD Mathematics,Prasadam & Kitchen,Care Group 1,Audarya Gaur pr,89,16,"Cooking, Serving, Bhoga Offering"
Meera Patel,Female,9876543214,meera.patel@example.in,Taksharya,Member,Ber Sarai Flat,Online,1,Active,IGNOU,Working Professional,BCA,Web Designer,Social Media & Website,Care Group 3,Dhirendra pr,80,4,"Graphic Design, Website, Social Media"
